Cover_percent	Tool	TP	FP	FN	TN	TPR	FPR
5	AlcoR 2	5204	192857	40134	2290634	0.114782301821871	0.0776556065635027
5	AlcoR	6627	240702	38711	2242789	0.146168776743571	0.0969208263690104
5	Dotplot	36781	108755	8669	2375824	0.809262926292629	0.0437720032246912
5	fLPS 2.0	43461	2381808	1877	101683	0.958599850015439	0.959056425008184
5	fLPS 2.0 strict	40015	1904706	5323	578785	0.882592968370903	0.766947011283713
5	fLPS	43189	2348709	2149	134782	0.952600467598924	0.945728814801423
5	fLPS strict	39420	1778082	5918	705409	0.869469319334774	0.715960718198697
5	LCRFinder	17933	69648	27405	2413843	0.395540164983016	0.028044393959954
5	SEG	33786	251363	11552	2232128	0.745202699722087	0.101213573956982
5	SEG intermediate	29223	41740	16115	2441751	0.644558648374432	0.0168069866168229
5	SEG strict	14484	2811	30854	2480680	0.319467113679474	0.00113187444609221
5	T-REKS	12413	75657	32925	2407834	0.273787992412546	0.0304639718847381
5	Xstream	125	25945	45213	2457546	0.00275706912523711	0.0104469877281617
10	AlcoR 2	5681	36264	24249	362556	0.189809555629803	0.0909282383029938
10	AlcoR	7099	44804	22831	354016	0.237186769127965	0.112341407151096
10	Dotplot	25527	36145	4609	363693	0.847059994690735	0.0903991116402143
10	fLPS 2.0	29562	387477	368	11343	0.987704644169729	0.971558597863698
10	fLPS 2.0 strict	28403	331244	1527	67576	0.94898095556298	0.830560152449727
10	fLPS	29461	384188	469	14632	0.984330103575008	0.963311769720676
10	fLPS strict	28253	322961	1677	75859	0.943969261610424	0.809791384584524
10	LCRFinder	14491	22099	15439	376721	0.484163047109923	0.0554109623388998
10	SEG	25563	74595	4367	324225	0.854092883394587	0.187039265834211
10	SEG intermediate	23750	22597	6180	376223	0.793518209154694	0.0566596459555689
10	SEG strict	12646	1627	17284	397193	0.422519211493485	0.00407953462715009
10	T-REKS	11748	22404	18182	376416	0.392515870364183	0.0561757183691891
10	Xstream	1000	6870	28930	391950	0.0334112930170398	0.0172258161576651
15	AlcoR 2	2770	7758	10314	86480	0.21170895750535	0.0823234788514188
15	AlcoR	3276	9738	9808	84500	0.250382146132681	0.103334111504913
15	Dotplot	11630	10668	1544	83710	0.882799453468954	0.113034817436267
15	fLPS 2.0	13022	92319	62	1919	0.995261387954754	0.979636664615123
15	fLPS 2.0 strict	12725	83967	359	10271	0.972561907673494	0.891009995967656
15	fLPS	12996	92560	88	1678	0.993274228064812	0.982194019397695
15	fLPS strict	12726	83308	358	10930	0.97263833690003	0.884017063180458
15	LCRFinder	6966	6269	6118	87969	0.53240599205136	0.0665230586387657
15	SEG	11624	19518	1460	74720	0.888413329257108	0.207113903096415
15	SEG intermediate	11086	7627	1998	86611	0.847294405380617	0.0809333814384855
15	SEG strict	6823	799	6261	93439	0.52147661265668	0.00847853307582928
15	T-REKS	6107	5975	6977	88263	0.466753286456741	0.0634032980326408
15	Xstream	448	1833	12636	92405	0.0342402934882299	0.0194507523504319
20	AlcoR 2	1588	3681	5866	32315	0.213039978535015	0.102261362373597
20	AlcoR	1877	4500	5577	31496	0.251811108129863	0.12501389043227
20	Dotplot	6578	5657	876	30389	0.882479205795546	0.156938356544415
20	fLPS 2.0	7395	35695	59	301	0.992084786691709	0.991637959773308
20	fLPS 2.0 strict	7323	33980	131	2016	0.982425543332439	0.943993777086343
20	fLPS	7394	35566	60	430	0.991950630533941	0.988054228247583
20	fLPS strict	7307	34400	147	1596	0.980279044808157	0.955661740193355
20	LCRFinder	4141	3460	3313	32536	0.555540649315804	0.0961217913101456
20	SEG	6560	9972	894	26024	0.880064394955728	0.277030781197911
20	SEG intermediate	6307	4306	1147	31690	0.846122887040515	0.119624402711412
20	SEG strict	3724	507	3730	35489	0.499597531526697	0.0140848983220358
20	T-REKS	3868	3549	3586	32447	0.518916018245237	0.0985942882542505
20	Xstream	32	105	7422	35891	0.00429299704856453	0.00291699077675297
> 20	AlcoR 2	7169	5145	9526	29087	0.429410002994909	0.150297966814676
> 20	AlcoR	7566	6013	9129	28219	0.45318957771788	0.175654358494975
> 20	Dotplot	15217	5432	1613	29008	0.904159239453357	0.157723577235772
> 20	fLPS 2.0	16597	33983	98	249	0.994129979035639	0.99272610422996
> 20	fLPS 2.0 strict	16100	32765	595	1467	0.964360587002096	0.95714536106567
> 20	fLPS	16630	34001	65	231	0.996106618748128	0.993251928020566
> 20	fLPS strict	16134	32830	561	1402	0.966397124887691	0.959044169198411
> 20	LCRFinder	9791	3098	6904	31134	0.586463012878107	0.0905001168497313
> 20	SEG	15259	8956	1436	25276	0.913986223420186	0.261626548258939
> 20	SEG intermediate	15014	5191	1681	29041	0.899311171009284	0.151641738724001
> 20	SEG strict	10061	568	6634	33664	0.602635519616652	0.0165926618368778
> 20	T-REKS	11512	4132	5183	30100	0.689547768793052	0.120705772376724
> 20	Xstream	955	574	15740	33658	0.0572027553159629	0.0167679364337462
