Ratio	Tool	TP	FP	FN	TN	TPR	FPR
0.2	AlcoR 2	165	13121	1488	98487	0.0998185117967332	0.117563257114185
0.2	AlcoR	194	13512	1459	98096	0.117362371445856	0.121066590208587
0.2	Dotplot	1350	5238	305	106421	0.81570996978852	0.0469106834200557
0.2	fLPS 2.0	1513	102633	140	8975	0.915305505142166	0.919584617590137
0.2	fLPS 2.0 strict	1302	62466	351	49142	0.787658802177858	0.559691061572647
0.2	fLPS	1492	100735	161	10873	0.902601330913491	0.902578668195828
0.2	fLPS strict	1282	60614	371	50994	0.775559588626739	0.543097269012974
0.2	LCRFinder	627	2471	1026	109137	0.379310344827586	0.0221399899648771
0.2	SEG	1014	11228	639	100380	0.613430127041742	0.100602107375815
0.2	SEG intermediate	895	1685	758	109923	0.541439806412583	0.0150974840513225
0.2	SEG strict	507	119	1146	111489	0.306715063520871	0.00106623181133969
0.2	T-REKS	573	2784	1080	108824	0.346642468239564	0.0249444484266361
0.4	AlcoR 2	7894	84914	20431	891828	0.278693733451015	0.0869359564757121
0.4	AlcoR	9563	103728	18762	873014	0.337616946160635	0.106197951966845
0.4	Dotplot	23533	45154	4958	932372	0.825980134077428	0.0461921217440764
0.4	fLPS 2.0	26812	908208	1513	68534	0.946584289496911	0.929834081057229
0.4	fLPS 2.0 strict	24427	663648	3898	313094	0.862383053839364	0.679450663532437
0.4	fLPS	26716	901692	1609	75050	0.943195057369815	0.9231629232694
0.4	fLPS strict	24229	612208	4096	364534	0.855392762577229	0.626785783758659
0.4	LCRFinder	14151	26182	14174	950560	0.499593998234775	0.0268054409455107
0.4	SEG	20817	100221	7508	876521	0.734933804060018	0.102607443930946
0.4	SEG intermediate	19367	20970	8958	955772	0.683742277140335	0.0214693337646994
0.4	SEG strict	13987	1888	14338	974854	0.493804060017652	0.00193295670709358
0.4	T-REKS	12036	32733	16289	944009	0.424924977934687	0.0335124321468719
0.4	Xstream	778	8340	27547	968402	0.0274669020300088	0.00853859053875025
0.6	AlcoR 2	17609	137733	71086	1840503	0.198534302948306	0.0696241500003033
0.6	AlcoR	20627	176874	68068	1801362	0.232561023733018	0.0894099591757505
0.6	Dotplot	77790	121052	11165	1858418	0.874487100219212	0.0611537431736778
0.6	fLPS 2.0	87944	1941915	751	36321	0.991532780878291	0.981639703250775
0.6	fLPS 2.0 strict	85263	1686385	3432	291851	0.961305597835278	0.852469068402354
0.6	fLPS	87771	1914620	924	63616	0.989582276340267	0.967842057267181
0.6	fLPS strict	84838	1612460	3857	365776	0.956513895935509	0.815099917300059
0.6	LCRFinder	44619	78845	44076	1899391	0.503061051919499	0.0398562153352785
0.6	SEG	77114	260483	11581	1717753	0.869428941879475	0.131674380609796
0.6	SEG intermediate	71687	61675	17008	1916561	0.808241727267602	0.031176765562855
0.6	SEG strict	40329	5100	48366	1973136	0.454693049213597	0.00257805438784857
0.6	T-REKS	37796	73435	50899	1904801	0.426134505890975	0.0371214556807176
0.6	Xstream	1773	19233	86922	1959003	0.0199898528665652	0.00972229804735128
0.8	AlcoR 2	9897	49269	28272	495458	0.259294191621473	0.0904471414121202
0.8	AlcoR	11156	62601	27013	482126	0.292279074641725	0.114921786509573
0.8	Dotplot	32170	40818	6344	505234	0.835280677156359	0.0747511226037081
0.8	fLPS 2.0	38037	541341	132	3386	0.996541696140847	0.99378404228173
0.8	fLPS 2.0 strict	37498	512422	671	32305	0.982420288715974	0.940695063765886
0.8	fLPS	37914	524459	255	20268	0.993319185726637	0.962792371224485
0.8	fLPS strict	37354	485278	815	59449	0.978647593596898	0.890864598229939
0.8	LCRFinder	18474	28851	19695	515876	0.484005344651419	0.0529641453425294
0.8	SEG	32723	92061	5446	452666	0.85731876653829	0.16900392306605
0.8	SEG intermediate	30297	25439	7872	519288	0.793759333490529	0.0467004572932864
0.8	SEG strict	15979	1511	22190	543216	0.4186381618591	0.00277386654232304
0.8	T-REKS	17182	37248	20987	507479	0.450155885666378	0.0683792064648898
0.8	Xstream	1437	21407	36732	523320	0.0376483533757762	0.0392985844285303
1	AlcoR 2	584	546	963	1895	0.377504848093083	0.223678820155674
1	AlcoR	469	510	1078	1931	0.30316742081448	0.208930766079476
1	Dotplot	1008	701	556	1756	0.644501278772379	0.285307285307285
1	fLPS 2.0	1487	2350	60	91	0.961215255332902	0.962720196640721
1	fLPS 2.0 strict	1060	1641	487	800	0.685197155785391	0.672265464973372
1	fLPS	1506	2260	41	181	0.97349709114415	0.925850061450225
1	fLPS strict	1085	1666	462	775	0.701357466063348	0.682507169192954
1	LCRFinder	530	494	1017	1947	0.342598577892696	0.202376075378943
1	SEG	1009	1171	538	1270	0.652230122818358	0.479721425645227
1	SEG intermediate	968	838	579	1603	0.625727213962508	0.343301925440393
1	SEG strict	407	50	1140	2391	0.263089851325145	0.0204834084391643
1	T-REKS	780	702	767	1739	0.504201680672269	0.287587054485866
